iter	Logloss
0	0.5885059467
1	0.5058122592
2	0.4488501753
3	0.3964492045
4	0.3430124556
5	0.3056013292
6	0.2722821615
7	0.2426140618
8	0.2211098228
9	0.2033361649
10	0.1862001229
11	0.1725233176
12	0.1595817039
13	0.1469691158
14	0.1360680416
15	0.129715296
16	0.1218020339
17	0.1149441594
18	0.1087886895
19	0.1013115573
20	0.09823070484
21	0.09286901695
22	0.08851144482
23	0.08536112718
24	0.08153320833
25	0.07900453369
26	0.07627981243
27	0.07413603395
28	0.07193260385
29	0.06982584307
30	0.06770766101
31	0.06647196839
32	0.06532509098
33	0.06394361513
34	0.0627408119
35	0.06198667829
36	0.06125769996
37	0.06052331086
38	0.06000559854
39	0.0590297177
40	0.05839749655
41	0.05746543211
42	0.05697118648
43	0.05611390403
44	0.05528482099
45	0.05449783726
46	0.05422696758
47	0.05387400337
48	0.05326084391
49	0.05299753352
50	0.05245410659
51	0.0519686217
52	0.0513492642
53	0.05089199026
54	0.05041197549
55	0.05012162825
56	0.049671636
57	0.04943641254
58	0.04925170206
59	0.04908707758
60	0.04869054838
61	0.04826473999
62	0.04793104326
63	0.0476490466
64	0.04734150705
65	0.04713476435
66	0.04669862416
67	0.04650588527
68	0.04608892588
69	0.04585915244
70	0.04546516883
71	0.04504112096
72	0.04467193911
73	0.04449772255
74	0.04432880478
75	0.04411263796
76	0.04399770368
77	0.04373621963
78	0.04352482338
79	0.04330989974
80	0.04294153354
81	0.04271506499
82	0.04259029136
83	0.04242739241
84	0.04232889842
85	0.04207575109
86	0.04198403377
87	0.04184495944
88	0.04158820398
89	0.04142039839
90	0.04115583093
91	0.04102580452
92	0.04086944068
93	0.04058666659
94	0.04044623556
95	0.04031403665
96	0.04002400808
97	0.03993360496
98	0.03972576811
99	0.03946583711
100	0.03921548419
101	0.03906180072
102	0.03888701408
103	0.03875988821
104	0.03867977672
105	0.03850370076
106	0.0383640005
107	0.03816799289
108	0.03805154263
109	0.03796853279
110	0.03789173823
111	0.03777109992
112	0.03768421875
113	0.03749966884
114	0.03735754908
115	0.03727129358
116	0.03707466224
117	0.0369740218
118	0.03681130091
119	0.03664409623
120	0.03652609397
121	0.03640205152
122	0.03635429976
123	0.03619166713
124	0.03612820729
125	0.03599339695
126	0.03589464131
127	0.03568422167
128	0.03555087432
129	0.03550136386
130	0.03535651785
131	0.03520147404
132	0.03508379745
133	0.03495477525
134	0.03484975159
135	0.03474040225
